"sub","name","size"
"Bureau of Indian Affairs and Bureau of Indian Education","ONERAIN INCORPORATED",778457
"Bureau of Indian Affairs and Bureau of Indian Education","FIRELAKE CONSTRUCTION INC",762605.13
"Bureau of Industry and Security","NETIMPACT STRATEGIES INC",857697.14
"Bureau of Industry and Security","MARRIOTT HOTEL SERVICES INC",705274
"Bureau of Industry and Security","HALVIK CORP",580000
"Bureau of Industry and Security","CSP ENTERPRISES LLC",461096.67
"Bureau of Industry and Security","AT&T MOBILITY LLC",271373.92
"Bureau of Industry and Security","ACCENTURE FEDERAL SERVICES LLC",250620
"Bureau of Industry and Security","DIRECT MARKETING PRODUCTIONS INC",203012
"Bureau of Industry and Security","DELL FEDERAL SYSTEMS LP",169305.52
"Bureau of Industry and Security","EMERGENT LLC",137320.35
"Bureau of Industry and Security","PANAMERICA COMPUTERS INC",114999
"Bureau of International Labor Affairs","ICF MACRO INC",829978
"Bureau of International Labor Affairs","ZOLON TECH INC",625000
"Bureau of International Labor Affairs","AT&T MOBILITY LLC",89633
"Bureau of International Labor Affairs","GRAFIK INDUSTRIES LTD",71890.55
"Bureau of International Labor Affairs","SKYHAWK LOGISTICS INC",36732
"Bureau of International Labor Affairs","XEROX CORPORATION",15327.24
"Bureau of International Labor Affairs","MOI INC",9247.18
"Bureau of Labor Statistics","AQUATE CORPORATION",743771.64
"Bureau of Labor Statistics","NATIONAL ACADEMY OF SCIENCES",665000
"Bureau of Labor Statistics","EMERGENT LLC",663142.19
"Bureau of Labor Statistics","MICROTECHNOLOGIES LLC",535932.62
"Bureau of Labor Statistics","ANYAR INC",517720
"Bureau of Labor Statistics","WESTAT INC",452560
"Bureau of Labor Statistics","ALVAREZ LLC",440856.05
"Bureau of Labor Statistics","MAD SECURITY LLC",370394.74
"Bureau of Labor Statistics","V3GATE LLC",368702.51
"Bureau of Labor Statistics","COMPUSEARCH SOFTWARE SYSTEMS INC",334125.37
"Bureau of Land Management","M-ALASKA CONSTRUCTION LLC",996297
"Bureau of Land Management","BENSON FARMS INC",986898.44
"Bureau of Land Management","A-PLUS WELL SERVICE INC",984150
"Bureau of Land Management","JACOBS RANCH",979896.79
"Bureau of Land Management","K2 AERIAL APPLICATION LLC",954895.84
"Bureau of Land Management","FRANCO REFORESTATION INC",949521
"Bureau of Land Management","HOMESTEAD FARMS",939875
"Bureau of Land Management","ENVIROSYSTEMS MANAGEMENT INC",937034.17
"Bureau of Land Management","SOUTHWEST GENERAL CONSTRUCTION INC",933134.89
"Bureau of Land Management","TRIMBLE INC",931342.44
"Bureau of Near Eastern Affairs","L C INDUSTRIES INC",4600
"Bureau of Ocean Energy Management","ICF INCORPORATED LLC",991937.32
"Bureau of Ocean Energy Management","CGI FEDERAL INC",752686.88
"Bureau of Ocean Energy Management","UNIVERSITY OF RHODE ISLAND",694511
"Bureau of Ocean Energy Management","GEMINI SOLUTIONS INC",506660
"Bureau of Ocean Energy Management","SMITHSONIAN INSTITUTION",480000
"Bureau of Ocean Energy Management","PALANTIR USA INC",441250
"Bureau of Ocean Energy Management","JASCO APPLIED SCIENCES USA INC",421558
"Bureau of Ocean Energy Management","INDUSTRIAL ECONOMICS INCORPORATED",399680.74
"Bureau of Ocean Energy Management","CGG SERVICES US INC",327879
"Bureau of Ocean Energy Management","NGI INC",261610.79
"Bureau of Reclamation","GOVPLACE",999280.05
"Bureau of Reclamation","AJAC ENTERPRISES INC",971936.93
"Bureau of Reclamation","P G & E LLC",954950
"Bureau of Reclamation","DAKOTA CONSULTING INCORPORATED",929585.39
"Bureau of Reclamation","FEDERATED IT INC",927584
"Bureau of Reclamation","SWCA INCORPORATED",913870.39
"Bureau of Reclamation","DJB CONSTRUCTION LLC",897930
"Bureau of Reclamation","SURVEYING SERVICES INC",896113
"Bureau of Reclamation","ANCHOR QEA LLC",890895
"Bureau of Reclamation","WHEELER MACHINERY CO",872953.8
"Bureau of Safety and Environmental Enforcement","SHI INTERNATIONAL CORP",966814.78
"Bureau of Safety and Environmental Enforcement","CARAHSOFT TECHNOLOGY CORP",866899.48
"Bureau of Safety and Environmental Enforcement","ASCELLA TECHNOLOGIES INC",714207.27
"Bureau of Safety and Environmental Enforcement","DELOITTE & TOUCHE LLP",706238.94
"Bureau of Safety and Environmental Enforcement","ENTERGY LOUISIANA LLC",600000
"Bureau of Safety and Environmental Enforcement","A2D TECHNOLOGIES INC",563538
"Bureau of Safety and Environmental Enforcement","SALIENT CRGT INC",526358.48
"Bureau of Safety and Environmental Enforcement","ARISANT LLC",515087.43
"Bureau of Safety and Environmental Enforcement","DLT SOLUTIONS LLC",495213.61
"Bureau of Safety and Environmental Enforcement","SL ROSS ENVIRONMENTAL RESEARCH LIMITED",418505
"Bureau of the Fiscal Service","SW RESOURCES INC",874009.31
"Bureau of the Fiscal Service","EMENTUM INC",872637.4
"Bureau of the Fiscal Service","RED RIVER TECHNOLOGY LLC",812105.82
"Bureau of the Fiscal Service","RICOH USA INC",782761.14
"Bureau of the Fiscal Service","ALEXANDER & TOM INC",748203
"Bureau of the Fiscal Service","ADVANCED MARKETPLACE INC",741309
"Bureau of the Fiscal Service","COLLABRALINK TECHNOLOGIES INCORPORATED",737697.08
"Bureau of the Fiscal Service","FEDGOVIT INC",708640.78
"Bureau of the Fiscal Service","COMMUNICATIONS RESOURCE INCORPORATED",700000
"Bureau of the Fiscal Service","TUNDRA FEDERAL LLC",691497.89
"Centers for Disease Control and Prevention","DENVER HEALTH AND HOSPITALS AUTHORITY",993334
"Centers for Disease Control and Prevention","HEALTH PENNSYLVANIA DEPARTMENT OF",991839
"Centers for Disease Control and Prevention","COX SUBSCRIPTIONS INC",982701.76
"Centers for Disease Control and Prevention","RESEARCH SUPPORT SERVICES",982357.16
"Centers for Disease Control and Prevention","PARAMOUNT SOLUTIONS & GLOBAL SERVICES INC",965853.5
"Centers for Disease Control and Prevention","UNIVERSITY OF ARIZONA",965750
"Centers for Disease Control and Prevention","REGENTS OF THE UNIVERSITY OF CALIFORNIA SAN FRANCISCO THE",964507.66
"Centers for Disease Control and Prevention","GEORGIA TECH APPLIED RESEARCH CORPORATION",961521.19
"Centers for Disease Control and Prevention","EMERGENT LLC",960470.09
"Centers for Disease Control and Prevention","HUMANTOUCH LLC",958853.24
"Centers for Medicare and Medicaid Services","ACCURATE BIOMETRICS INC",992500
"Centers for Medicare and Medicaid Services","MARKETING FOR CHANGE CO",979181.28
"Centers for Medicare and Medicaid Services","HCD INTERNATIONAL INC",958162.49
"Centers for Medicare and Medicaid Services","SUSQUEHANNA ACTUARIAL CONSULTING INC",922571
"Centers for Medicare and Medicaid Services","BOLTON PARTNERS INC",914334
"Centers for Medicare and Medicaid Services","CAPITOL BRIDGE LLC",913104
"Centers for Medicare and Medicaid Services","HEALTH RESEARCH AND EDUCATIONAL TRUST OF NEW JERSEY",913074
"Centers for Medicare and Medicaid Services","EC AMERICA INC",892092
"Centers for Medicare and Medicaid Services","CAPTECH AUROTECH JV LLC",883849.28
"Centers for Medicare and Medicaid Services","MYRIDDIAN LLC",863154
"Commission of Fine Arts","FIG LEAF SOFTWARE INC",36677.22
"Commission of Fine Arts","BROWN & COMPANY CERTIFIED PUBLIC ACCOUNTANTS AND MANAGEMENT CONSULTANTS PLLC",19784.56
"Commission of Fine Arts","CGI FEDERAL INC",10068.85
"Commission of Fine Arts","AT&T MOBILITY LLC",4397.52
"Commission of Fine Arts","MEADOWS DESIGN OFFICE",3600
"Commission of Fine Arts","CIRACOM INCORPORATED",3556.8
"Committee for Purchase from People Who Are Blind or Severely Disabled","EDWARDS KIMMIE",606155.85
"Committee for Purchase from People Who Are Blind or Severely Disabled","THOUGHT OBJECT LLC",304969.2
"Committee for Purchase from People Who Are Blind or Severely Disabled","CONTACT 1 INC",121333.01
"Committee for Purchase from People Who Are Blind or Severely Disabled","GLOBAL SOLUTIONS GROUP INC",71050
"Committee for Purchase from People Who Are Blind or Severely Disabled","WEMED SERVICES INC",65792.88
"Committee for Purchase from People Who Are Blind or Severely Disabled","DATAWIZ CORPORATION",52561.92
"Committee for Purchase from People Who Are Blind or Severely Disabled","3 R RESOURCES INC",34993
"Committee for Purchase from People Who Are Blind or Severely Disabled","SEZNEP INC",21762
"Committee for Purchase from People Who Are Blind or Severely Disabled","BARNES SUPPLY COMPANY INC",16257.2
"Committee for Purchase from People Who Are Blind or Severely Disabled","E-LOGIC INC",10053.7
"Commodity Futures Trading Commission","DH TECHNOLOGIES LLC",905687
"Commodity Futures Trading Commission","KEARNEY & COMPANY PC",900000
"Commodity Futures Trading Commission","XOR SECURITY LLC",829114.5
"Commodity Futures Trading Commission","STRATIVIA LLC",785862.24
"Commodity Futures Trading Commission","WEST PUBLISHING CORPORATION",779846.03
"Commodity Futures Trading Commission","CASK TECHNOLOGIES LLC",750528
"Commodity Futures Trading Commission","AVANTGARDE LLC",723489.58
"Commodity Futures Trading Commission","HIGHPOINT DIGITAL INC",674435
"Commodity Futures Trading Commission","GUNNISON CONSULTING GROUP INC",643972.16
"Commodity Futures Trading Commission","EXECUTIVE INFORMATION SYSTEMS LLC",572034.58
"Community Development Financial Institutions Fund","SUMMIT CONSULTING LLC",936395.68
"Community Development Financial Institutions Fund","FEDBIZ IT SOLUTIONS LLC",454007.92
"Community Development Financial Institutions Fund","I360TECHNOLOGIES INC",414870.72
"Community Development Financial Institutions Fund","ECONOMETRICA INC",201604.66
"Community Development Financial Institutions Fund","ADINO INC",163897.82
"Community Development Financial Institutions Fund","ATLAS RESEARCH LLC",146171.48
"Community Development Financial Institutions Fund","PENBAY SOLUTIONS LLC",112517.36
"Community Development Financial Institutions Fund","TRANSFORMATION STRATEGIES INC",95106.36
"Community Development Financial Institutions Fund","BIXAL SOLUTIONS INCORPORATED",84169.16
"Community Development Financial Institutions Fund","DOCUMENT SYSTEMS INCORPORATED",77792.16
"Consumer Financial Protection Bureau","NETIMPACT STRATEGIES INC",960060.8
"Consumer Financial Protection Bureau","NORTHRIDGE GROUP INCTHE",913150
"Consumer Financial Protection Bureau","MINBURN TECHNOLOGY GROUP LLC",891959.62
"Consumer Financial Protection Bureau","CELLCO PARTNERSHIP",867513.65
"Consumer Financial Protection Bureau","RESEARCH TRIANGLE INSTITUTE",867112
"Consumer Financial Protection Bureau","JURISTAFF INC",843888.72
"Consumer Financial Protection Bureau","LIFE INSURANCE COMPANY OF NORTH AMERICA",770000
"Consumer Financial Protection Bureau","TCG INC",701546.79
"Consumer Financial Protection Bureau","WORLD INSTITUTE OF LEADERSHIP & LEARNING",692278.29
"Consumer Financial Protection Bureau","FORUM ONE COMMUNICATIONS CORPORATION",665923.2
"Consumer Product Safety Commission","FREEALLIANCECOM LLC",953456.76
"Consumer Product Safety Commission","COMMUNICATIONS TRAINING ANALYSIS CORPORATION",860540.28
"Consumer Product Safety Commission","VISUAL INFORMATION SYSTEM INC",840230.67
"Consumer Product Safety Commission","CDW GOVERNMENT LLC",835294.8
"Consumer Product Safety Commission","UNIVERSITY OF CINCINNATI",767885.6
"Consumer Product Safety Commission","GRANT THORNTON LLP",758836.88
"Consumer Product Safety Commission","RWD CONSULTING LLC",753016.2
"Consumer Product Safety Commission","WIDMEYER COMMUNICATIONS INC",675778.46
"Consumer Product Safety Commission","INTEGRAL CONSULTING SERVICES INCORPORATED",580245.88
"Consumer Product Safety Commission","NATIONAL ACADEMY OF SCIENCES",575020.64
"Corporation for National and Community Service","COMPUSEARCH SOFTWARE SYSTEMS INC",873973.73
"Corporation for National and Community Service","ICF INCORPORATED LLC",860226.55
"Corporation for National and Community Service","INDUSTRIES FOR THE BLIND AND VISUALLY IMPAIRED INC",832407.98
"Corporation for National and Community Service","IOWA DEPARTMENT OF EDUCATION",822364.68
"Corporation for National and Community Service","MATHEMATICA POLICY RESEARCH INC",764981.88
"Corporation for National and Community Service","VETERAN INFRASTRUCTURE PRODUCTS LLC",655788
"Corporation for National and Community Service","MIDTOWN PERSONNEL INC",542803.2
"Corporation for National and Community Service","CELLCO PARTNERSHIP",470695.69
"Corporation for National and Community Service","NATIONAL OPINION RESEARCH CENTER",465558.56
"Corporation for National and Community Service","COTTON & COMPANY LLP",395641.93
"Court Services and Offender Supervision Agency","TELLUS SOLUTIONS INC",986580
"Court Services and Offender Supervision Agency","MINBURN TECHNOLOGY GROUP LLC",956515
"Court Services and Offender Supervision Agency","HAUTE ON THE HILL BY RIDGEWELLS INC",900000
"Court Services and Offender Supervision Agency","SABREE INC",883984.16
"Court Services and Offender Supervision Agency","VERIZON FEDERAL INC",780995.09
"Court Services and Offender Supervision Agency","HOLY COMFORTER-ST CYPRIAN COMMUNITY ACTION GROUP INC",716126
"Court Services and Offender Supervision Agency","SOFTWARE INFORMATION RESOURCE CORP",679675.32
"Court Services and Offender Supervision Agency","COMPREHENSIVE COMMUNITY HEALTH & PSYCHOLIGICAL SERVICES LLC",669132
"Court Services and Offender Supervision Agency","MAGADIA CONSULTING INC",608898.54
"Court Services and Offender Supervision Agency","CENTER FOR CLINICAL AND FORENSIC SERVICES INC THE",600000
"Defense Advanced Research Projects Agency","SHARED SPECTRUM COMPANY",999693.89
"Defense Advanced Research Projects Agency","PHYSICAL OPTICS CORPORATION",999463.11
"Defense Advanced Research Projects Agency","TETHERS UNLIMITED INC",999130.15
"Defense Advanced Research Projects Agency","CREARE LLC",997629
"Defense Advanced Research Projects Agency","MODULAR BIONICS INC",996426.57
"Defense Advanced Research Projects Agency","QUALIA INC",994290
"Defense Advanced Research Projects Agency","RIPTIDE AUTONOMOUS SOLUTIONS LLC",993881
"Defense Advanced Research Projects Agency","TRX SYSTEMS INC",987943
"Defense Advanced Research Projects Agency","ADVENTIUM ENTERPRISES LLC",985843.64
"Defense Advanced Research Projects Agency","SILICON TECHNOLOGIES INC",984595
"Defense Commissary Agency","VESA HEALTH & TECHNOLOGY INC",947848.18
"Defense Commissary Agency","GEBRA-IT GMBH & CO KG",942074.92
"Defense Commissary Agency","CASILLAS PARTNERS LLC",935383.78
"Defense Commissary Agency","DLT SOLUTIONS LLC",929183.8
"Defense Commissary Agency","RELIANT SERVICES INC",926595.78
"Defense Commissary Agency","IRIS KIM INC",919692.16
